consumer_discretionary_avg,consumer_staples_avg,energy_avg,financials_avg,health_care_avg,industrials_avg,information_technology_avg,materials_avg,real_estate_avg,telecommunication_services_avg,utilities_avg
118.87957,84.721504,68.61284,80.20263,127.029724,91.488525,99.72878,97.20636,104.55301,46.88883,57.27524
119.02036,84.56111,68.54228,80.3739,127.68288,91.530045,99.511406,97.17343,104.30167,46.575176,57.43354
119.0383,84.81539,68.323654,80.353065,127.31306,91.6192,99.811806,96.967545,104.39865,46.520897,57.25253
119.36334,84.92921,68.43294,80.37929,127.3701,91.749954,99.92469,97.16213,104.16843,46.352055,57.16496
119.5541,85.282555,68.5661,80.63968,127.49309,91.93504,100.09288,96.52539,104.13095,46.369198,57.110172
119.444534,85.13857,68.17287,80.38954,127.285324,91.83713,100.0706,96.5183,104.23584,46.6509,57.2486
119.53205,85.48214,68.21715,80.638756,127.404015,91.73082,100.209694,96.06793,104.18272,46.361786,57.11536
119.400024,85.124,68.225914,80.25399,127.279045,91.62197,100.14305,96.77552,104.47795,46.28119,56.98155
119.58065,85.12491,68.633484,80.56313,127.364944,91.76147,100.33927,96.4323,104.70655,45.65895,56.634933
120.01742,85.01351,69.063736,80.68156,127.75475,92.11464,100.18599,96.92119,105.17554,45.52044,56.766304
120.06452,85.41161,68.694046,80.75698,128.07947,92.20363,100.673065,96.52353,105.451126,46.2885,57.342873
119.627754,84.22996,69.074905,79.80693,128.32393,92.21813,99.793335,99.235245,104.92784,46.068714,57.323612
120.03781,84.010445,69.388084,79.52528,128.46631,92.385574,99.425385,99.65418,104.0849,45.539875,56.753834
119.87212,83.879295,69.93129,79.424255,128.61528,92.34152,98.86031,100.28127,103.1954,45.24425,56.5306
120.299355,84.49457,69.7189,80.1058,127.76753,92.10385,99.06441,98.06754,103.60064,44.812138,56.07043
120.36483,85.1981,69.11576,80.39201,127.585434,91.90417,99.5706,96.47215,103.97864,45.43062,56.30576
120.62494,85.69344,68.794975,80.291245,127.980095,92.67823,99.80138,96.43889,104.54005,45.96057,57.15132
120.40357,85.29679,68.8091,80.582855,128.10518,92.39047,99.78473,96.73137,105.047066,45.800148,57.08915
120.95053,85.9247,68.2117,80.61851,128.35999,92.82095,99.8157,96.22656,104.68094,46.14398,57.169544
121.11706,86.15758,68.65061,80.66194,128.09064,92.68274,100.07762,96.52009,104.808395,45.91252,56.84358
121.26356,86.31171,69.010544,81.1244,128.70927,92.96925,100.14192,96.53571,104.89238,45.983646,57.00747
122.57281,88.29605,67.8528,81.18623,131.19862,95.53078,100.084045,96.408104,104.830124,47.61377,59.457462
122.94195,88.45878,67.75415,81.4862,131.80426,96.08408,100.50126,96.82965,105.645645,47.785084,59.86244
123.263054,88.2369,68.28906,81.57502,131.51071,95.89746,100.98303,97.26689,106.35862,47.81668,59.63339
124.03272,88.64062,68.6608,81.8622,132.06747,96.222946,101.07099,97.595215,106.300446,47.80042,59.545116
124.709236,89.27442,68.598755,81.94331,132.88977,96.78371,101.09939,97.89508,106.27592,48.064346,59.837048
124.47133,88.762886,69.09303,82.4048,132.28462,96.00311,101.59275,97.99442,106.61583,47.59578,59.037502
124.925514,89.623024,69.01627,82.73059,133.0934,96.9749,101.75116,98.07105,106.51433,48.01423,59.585876
125.704,90.341354,68.40045,82.82853,134.50742,98.10414,101.616394,98.295456,106.4232,48.591145,60.583885
125.35399,90.474945,67.94499,82.8762,134.2701,97.991974,101.91296,98.12584,106.46559,48.807854,60.623234
125.56133,90.773445,67.96404,82.97866,134.19182,97.99495,102.10662,98.427124,106.52054,48.82647,60.600407
125.39127,90.72425,68.353355,83.1206,134.81021,98.46069,102.14828,98.61019,106.82003,49.06202,60.92883
125.42728,90.822334,67.73956,82.86846,134.97154,98.667404,102.27484,98.8012,107.09807,49.455875,61.493378
125.285736,91.1038,68.14685,82.82393,135.05814,98.92999,102.45587,99.35334,107.46944,49.79366,61.715862
126.4029,91.42823,68.1772,82.840706,135.98601,99.27831,102.453064,99.613815,107.65166,50.003567,62.341503
126.37435,91.59197,68.10248,83.09637,135.73555,98.96377,102.5535,99.18303,107.19248,49.7502,61.904083
126.62877,91.303055,68.26608,82.646866,134.97736,98.80066,102.73088,99.37473,107.40022,49.860073,61.522213
126.253815,91.167885,68.336624,82.748436,135.40031,98.72119,102.4155,99.047,106.49629,49.75007,61.373493
126.106186,90.79298,67.78093,82.147,134.60197,98.237976,102.11683,98.80341,106.27046,49.74553,61.016052
125.74949,90.64933,67.7303,81.832596,133.95567,97.76575,101.77616,98.373055,105.60428,49.610035,60.526546
125.78534,90.906715,67.781784,81.521164,134.3761,98.006134,101.09368,98.820724,105.22659,49.57188,60.853302
125.63524,90.80744,67.83719,81.27982,134.87955,98.32161,100.87471,99.131035,105.61526,49.759644,61.40102
125.37495,90.45528,67.38223,80.8029,134.51468,98.32054,101.15254,99.163086,106.023224,50.091766,61.573288
125.0247,91.123604,67.50484,81.0578,134.11807,98.394394,101.5856,99.49179,106.15279,50.309834,61.455006
125.42273,90.77788,67.79257,81.00489,134.76082,98.72989,101.79375,99.892426,106.77501,50.66125,61.937733
